Annual Salary ($),Years Experience,Education Level,Manager? (1=Yes),Hours/Week,Department,Department_Code,Education_Numeric
119635.0,23.8,High School,0,48.4,Finance,FIN:::NCE,1
124608.0,26.0,Master,0,42.9,Marketing,MAR:::ING,3
79770.0,11.2,High School,0,32.8,Engineering,ENG:::ING,1
101531.0,23.0,Bachelor,0,42.4,Marketing,MAR:::ING,2
109228.0,17.3,Master,0,44.6,Marketing,MAR:::ING,3
147243.0,34.2,Bachelor,0,35.4,Finance,FIN:::NCE,2
144451.0,30.1,High School,1,35.6,Finance,FIN:::NCE,1
69593.0,9.4,High School,0,32.5,Engineering,ENG:::ING,1
114428.0,23.9,High School,1,43.2,Engineering,ENG:::ING,1
107775.0,21.7,High School,0,37.4,Finance,FIN:::NCE,1
87735.0,9.4,Bachelor,1,30.8,Marketing,MAR:::ING,2
,11.5,Master,0,38.8,Finance,FIN:::NCE,3
108762.0,29.6,High School,0,20.8,Engineering,ENG:::ING,1
103410.0,13.4,Master,0,39.4,Engineering,ENG:::ING,3
110502.0,21.8,Master,0,29.7,Finance,FIN:::NCE,3
115350.0,24.9,Bachelor,0,38.8,Finance,FIN:::NCE,2
131536.0,33.9,Bachelor,0,25.4,Operations,OPE:::ONS,2
140574.0,30.3,Master,1,36.7,Operations,OPE:::ONS,3
100822.0,21.2,Bachelor,0,43.2,Engineering,ENG:::ING,2
141956.0,34.9,Master,0,46.3,Engineering,ENG:::ING,3
113134.0,28.2,Bachelor,0,34.1,Marketing,MAR:::ING,2
95534.0,22.8,Master,0,37.3,Operations,OPE:::ONS,3
80543.0,12.8,Bachelor,0,37.1,Operations,OPE:::ONS,2
138136.0,34.3,Bachelor,1,30.9,Engineering,ENG:::ING,2
106518.0,23.7,Bachelor,0,38.8,Finance,FIN:::NCE,2
73577.0,8.2,Master,0,34.8,Operations,OPE:::ONS,3
116942.0,22.9,Master,0,29.7,Finance,FIN:::NCE,3
92147.0,11.3,Master,0,35.2,Finance,FIN:::NCE,3
89930.0,16.7,Bachelor,0,40.4,Engineering,ENG:::ING,2
97433.0,17.9,Master,0,51.8,Marketing,MAR:::ING,3
41348.0,0.3,High School,0,24.4,Operations,OPE:::ONS,1
75967.0,5.4,High School,1,38.2,Marketing,MAR:::ING,1
56008.0,9.8,High School,0,39.7,Marketing,MAR:::ING,1
87233.0,9.8,Bachelor,1,41.8,Operations,OPE:::ONS,2
53936.0,2.9,High School,0,33.1,Finance,FIN:::NCE,1
,17.9,Bachelor,0,44.5,Finance,FIN:::NCE,2
98037.0,19.7,Master,0,34.1,Operations,OPE:::ONS,3
130352.0,31.0,Master,1,34.1,Operations,OPE:::ONS,3
51302.0,6.5,High School,0,40.2,Marketing,MAR:::ING,1
80317.0,11.2,Master,0,26.3,Finance,FIN:::NCE,3
,14.0,Bachelor,1,32.7,Engineering,ENG:::ING,2
134952.0,31.3,High School,0,29.4,Finance,FIN:::NCE,1
101280.0,25.2,High School,0,39.0,Engineering,ENG:::ING,1
128031.0,33.5,Master,0,31.9,Marketing,MAR:::ING,3
118774.0,25.0,Bachelor,1,51.2,Marketing,MAR:::ING,2
74398.0,3.3,Master,0,28.5,Finance,FIN:::NCE,3
70077.0,7.9,Bachelor,0,46.4,Engineering,ENG:::ING,2
129622.0,33.2,Bachelor,1,40.5,Finance,FIN:::NCE,2
123193.0,24.5,Master,1,42.4,Marketing,MAR:::ING,3
85848.0,12.1,Bachelor,0,46.3,Finance,FIN:::NCE,2
153494.0,33.5,Master,0,44.5,Finance,FIN:::NCE,3
139543.0,30.6,Bachelor,1,27.3,Engineering,ENG:::ING,2
132471.0,34.9,Master,0,27.0,Operations,OPE:::ONS,3
106236.0,15.9,Master,0,36.3,Finance,FIN:::NCE,3
119635.0,32.6,Bachelor,0,47.7,Marketing,MAR:::ING,2
112785.0,19.3,Bachelor,0,38.5,Finance,FIN:::NCE,2
94413.0,20.1,Bachelor,0,39.7,Finance,FIN:::NCE,2
105122.0,9.3,Master,1,44.5,Finance,FIN:::NCE,3
,16.2,High School,0,42.3,Operations,OPE:::ONS,1
99010.0,20.3,Bachelor,0,41.9,Engineering,ENG:::ING,2
67343.0,3.1,High School,0,40.0,Finance,FIN:::NCE,1
89738.0,13.2,Bachelor,1,34.3,Marketing,MAR:::ING,2
59176.0,11.0,Bachelor,0,32.2,Marketing,MAR:::ING,2
108452.0,20.2,Bachelor,0,38.3,Engineering,ENG:::ING,2
80202.0,14.7,High School,0,41.7,Engineering,ENG:::ING,1
32897.0,4.0,Bachelor,0,23.1,Marketing,MAR:::ING,2
85289.0,6.9,Master,0,37.0,Finance,FIN:::NCE,3
93656.0,9.3,Bachelor,1,32.3,Finance,FIN:::NCE,2
143875.0,28.7,Master,1,29.6,Marketing,MAR:::ING,3
109849.0,31.5,Bachelor,0,32.4,Marketing,MAR:::ING,2
70354.0,15.2,High School,0,39.2,Engineering,ENG:::ING,1
71389.0,15.0,High School,0,38.6,Marketing,MAR:::ING,1
85428.0,7.0,Master,0,36.8,Finance,FIN:::NCE,3
92379.0,20.6,Bachelor,0,33.7,Engineering,ENG:::ING,2
,28.3,Bachelor,0,41.8,Marketing,MAR:::ING,2
69696.0,8.3,High School,0,45.9,Operations,OPE:::ONS,1
85611.0,8.6,Bachelor,1,35.9,Operations,OPE:::ONS,2
,22.1,Bachelor,1,39.0,Engineering,ENG:::ING,2
112074.0,27.1,High School,0,40.7,Finance,FIN:::NCE,1
104261.0,12.7,Bachelor,0,56.3,Finance,FIN:::NCE,2
105618.0,17.6,Master,0,37.6,Engineering,ENG:::ING,3
96688.0,12.2,Bachelor,1,42.8,Marketing,MAR:::ING,2
82546.0,6.5,Bachelor,0,27.1,Finance,FIN:::NCE,2
62174.0,2.3,Bachelor,0,39.4,Marketing,MAR:::ING,2
71421.0,9.9,High School,0,32.1,Marketing,MAR:::ING,1
70539.0,7.3,Bachelor,1,40.3,Marketing,MAR:::ING,2
95986.0,21.6,Bachelor,0,33.8,Operations,OPE:::ONS,2
,3.0,High School,0,39.6,Finance,FIN:::NCE,1
94708.0,22.9,Bachelor,0,27.5,Operations,OPE:::ONS,2
99756.0,22.3,Master,0,38.0,Operations,OPE:::ONS,3
113134.0,24.8,High School,0,42.8,Engineering,ENG:::ING,1
142043.0,30.4,Bachelor,1,46.2,Marketing,MAR:::ING,2
135048.0,30.6,Master,0,24.6,Finance,FIN:::NCE,3
58402.0,5.4,High School,0,31.1,Finance,FIN:::NCE,1
123501.0,28.9,High School,0,33.4,Finance,FIN:::NCE,1
84773.0,7.0,Bachelor,0,42.7,Operations,OPE:::ONS,2
856580.0,10.0,Master,0,25.9,Engineering,ENG:::ING,3
